[MSI]	
Submission Title	Rice Imputation Project	
Submission Identifier	
Submission Description	A test file that will auto-destroy in a week
Submission Version	1.2	
Submission Reference Layer	false	
Submission Release Date	2018/05/17	
Submission Update Date	2018/05/17	
Organization Name	Rice Diversity Lab	
Organization Address	160 Emerson Hall, Ithaca, NY 14850, USA	
Organization URI	
Organization Email	
Organization Role	
Term Source Name	NCBI Taxonomy	
Term Source URI	http://www.ncbi.nlm.nih.gov/taxonomy	
Term Source Version	

[SCD]	
Sample Name	Sample Description	Organism	Term Source REF	Term Source ID	Sex	Characteristic[serovar]	Characteristic[mating_type]	Characteristic[sub_strain]	Characteristic[strain]	Characteristic[Scientific Name]	Characteristic[cultivar]	Characteristic[variety]	Characteristic[serotype]	Characteristic[cell_line]	Characteristic[tissue_type]	Characteristic[tissue_lib]	Characteristic[cell_type]	Characteristic[germline]	Characteristic[sub_species]	Characteristic[geographic location (region and locality)]	Characteristic[isolate]	Characteristic[Common Name]	Characteristic[dev_stage]	Characteristic[ecotype]	
47c2ea40.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	QING GU::IRGC 59839-1	QING GU::IRGC 59839-1	NA	NA	leaf	NA	leaf	NA	ind1	China	NA	rice	seedling	NA	
480f7505.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	ARC 6578	ARC 6578	NA	NA	leaf	NA	leaf	NA	aus	India	NA	rice	seedling	NA	
484b2a0f.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	ARC 12701::IRGC 22267-1	ARC 12701::IRGC 22267-1	NA	NA	leaf	NA	leaf	NA	admixed-jap	India	NA	rice	seedling	NA	
4874cc49.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	KAPUTU HOTA::IRGC 66516-1	KAPUTU HOTA::IRGC 66516-1	NA	NA	leaf	NA	leaf	NA	ind3	Sri Lanka	NA	rice	seedling	NA	
48b4f132.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SINAMPAGA SELECTION	SINAMPAGA SELECTION	NA	NA	leaf	NA	leaf	NA	trj	Philippines	NA	rice	seedling	NA	
48d3bc66.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	NIPPONBARE	NIPPONBARE	NA	NA	leaf	NA	leaf	NA	tej	Japan	NA	rice	seedling	NA	
4901f055.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	ZALCHA::IRGC 62190-1	ZALCHA::IRGC 62190-1	NA	NA	leaf	NA	leaf	NA	admixed-ind	Bhutan	NA	rice	seedling	NA	
4916ae53.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	Taducan	Taducan	NA	NA	leaf	NA	leaf	NA	admixed-ind	India	NA	rice	seedling	NA	
493f2b7e.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	VARYLA	VARYLA	NA	NA	leaf	NA	leaf	NA	admixed-jap	Madagascar	NA	rice	seedling	NA	
49649a00.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	HUNAN EARLY DWARF NO. 3	HUNAN EARLY DWARF NO. 3	NA	NA	leaf	NA	leaf	NA	ind1	China	NA	rice	seedling	NA	
498a66b3.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	KAUKHNYIN ANI::IRGC 33176-1	KAUKHNYIN ANI::IRGC 33176-1	NA	NA	leaf	NA	leaf	NA	ind3	Myanmar	NA	rice	seedling	NA	
49a3b897.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SAFRI 17::IRGC 117376-1	SAFRI 17::IRGC 117376-1	NA	NA	leaf	NA	leaf	NA	tej	India	NA	rice	seedling	NA	
4a23e300.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	KALINGA III::C1	KALINGA III::C1	NA	NA	leaf	NA	leaf	NA	admixed-ind	India	NA	rice	seedling	NA	
4a2f3d7e.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	JANGYEONGDO::IRGC 73054-1	JANGYEONGDO::IRGC 73054-1	NA	NA	leaf	NA	leaf	NA	admixed-jap	Korea, Republic of	NA	rice	seedling	NA	
4a424ab9.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	PADDY 1300 DE MADAG::IRGC 69291-1	PADDY 1300 DE MADAG::IRGC 69291-1	NA	NA	leaf	NA	leaf	NA	admixed-ind	Burkina Faso	NA	rice	seedling	NA	
4a4f7bcf.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SI KURIA::IRGC 66651-1	SI KURIA::IRGC 66651-1	NA	NA	leaf	NA	leaf	NA	trj	Indonesia	NA	rice	seedling	NA	
4a593fda.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	ZABI::IRGC 66685-2	ZABI::IRGC 66685-2	NA	NA	leaf	NA	leaf	NA	ind3	Indonesia	NA	rice	seedling	NA	
4a76097c.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	MICOCHU::IRGC 25888-1	MICOCHU::IRGC 25888-1	NA	NA	leaf	NA	leaf	NA	aus	Bangladesh	NA	rice	seedling	NA	
4a887b37.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	CU GAN HUANG DAO::IRGC 59490-1	CU GAN HUANG DAO::IRGC 59490-1	NA	NA	leaf	NA	leaf	NA	tej	China	NA	rice	seedling	NA	
4ab24252.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SPTLR 7201-PRE 26-2-GM-4::IRGC 117356-1	SPTLR 7201-PRE 26-2-GM-4::IRGC 117356-1	NA	NA	leaf	NA	leaf	NA	admixed-ind	Thailand	NA	rice	seedling	NA	
4ab486ec.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	ROMEO	ROMEO	NA	NA	leaf	NA	leaf	NA	tej	Italy	NA	rice	seedling	NA	
4ac9b635.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	BEIRAO::GERVEX 782-C1	BEIRAO::GERVEX 782-C1	NA	NA	leaf	NA	leaf	NA	tej	Portugal	NA	rice	seedling	NA	
4b0a7350.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	BERENJ	BERENJ	NA	NA	leaf	NA	leaf	NA	admixed	Afghanistan	NA	rice	seedling	NA	
4bd6d76f.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	ROJOKELY::GERVEX 8410-C1	ROJOKELY::GERVEX 8410-C1	NA	NA	leaf	NA	leaf	NA	admixed-ind	Madagascar	NA	rice	seedling	NA	
4c13a3a3.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	MAAP::IRGC 64911-1	MAAP::IRGC 64911-1	NA	NA	leaf	NA	leaf	NA	admixed-jap	Bhutan	NA	rice	seedling	NA	
4c188d7c.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	TOG 7178	TOG 7178	NA	NA	leaf	NA	leaf	NA	admixed-ind	Senegal	NA	rice	seedling	NA	
4c343737.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	KI 68::IRGC 34768-1	KI 68::IRGC 34768-1	NA	NA	leaf	NA	leaf	NA	admixed-ind	India	NA	rice	seedling	NA	
4c9441ab.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	DHARIA BOALIA::IRGC 64774-1	DHARIA BOALIA::IRGC 64774-1	NA	NA	leaf	NA	leaf	NA	aus	Bangladesh	NA	rice	seedling	NA	
4c99061a.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SPEAKER::C1	SPEAKER::C1	NA	NA	leaf	NA	leaf	NA	trj	Philippines	NA	rice	seedling	NA	
4cbb1d88.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	DELLROSE::GERVEX 1648-C1	DELLROSE::GERVEX 1648-C1	NA	NA	leaf	NA	leaf	NA	trj	United States of America	NA	rice	seedling	NA	
4ccd3edd.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	Bleiyo	Bleiyo	NA	NA	leaf	NA	leaf	NA	admixed-ind	India	NA	rice	seedling	NA	
4d01f7da.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	TX 750710-3::IRGC 53382-1	TX 750710-3::IRGC 53382-1	NA	NA	leaf	NA	leaf	NA	admixed-ind	United States of America	NA	rice	seedling	NA	
4d5bbf08.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	PINAS (BORIK)::IRGC 44685-1	PINAS (BORIK)::IRGC 44685-1	NA	NA	leaf	NA	leaf	NA	admixed-ind	Philippines	NA	rice	seedling	NA	
4d7959b3.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	QUILA 64117::IRGC 117024-1	QUILA 64117::IRGC 117024-1	NA	NA	leaf	NA	leaf	NA	tej	Chile	NA	rice	seedling	NA	
4ddb15a7.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	CURINCA::C1	CURINCA::C1	NA	NA	leaf	NA	leaf	NA	trj	Brazil	NA	rice	seedling	NA	
4dff8039.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	RIZZOTTO 264::IRGC 65727-1	RIZZOTTO 264::IRGC 65727-1	NA	NA	leaf	NA	leaf	NA	admixed-jap	Italy	NA	rice	seedling	NA	
4e05537d.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	KAW LUYOENG::IRGC 27716-C1	KAW LUYOENG::IRGC 27716-C1	NA	NA	leaf	NA	leaf	NA	admixed-ind	Thailand	NA	rice	seedling	NA	
4e35b58a.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	DZ 193	DZ 193	NA	NA	leaf	NA	leaf	NA	aus	Bangladesh	NA	rice	seedling	NA	
4e896f23.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	BAHAGIA::IRGC 116957-1	BAHAGIA::IRGC 116957-1	NA	NA	leaf	NA	leaf	NA	ind2	Sri Lanka	NA	rice	seedling	NA	
4ee5710b.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	BORRACHO::GERVEX 808-C1	BORRACHO::GERVEX 808-C1	NA	NA	leaf	NA	leaf	NA	tej	Portugal	NA	rice	seedling	NA	
4ef132dc.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	TAM CAU 9 A	TAM CAU 9 A	NA	NA	leaf	NA	leaf	NA	admixed-ind	Vietnam	NA	rice	seedling	NA	
4f00d7a6.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	OIRAN	OIRAN	NA	NA	leaf	NA	leaf	NA	admixed-jap	Japan	NA	rice	seedling	NA	
4f15d8d7.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	H 15-23-DA::C1	H 15-23-DA::C1	NA	NA	leaf	NA	leaf	NA	ind3	Mali	NA	rice	seedling	NA	
4f4f777a.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	PALMYRA	PALMYRA	NA	NA	leaf	NA	leaf	NA	admixed-jap	United States	NA	rice	seedling	NA	
4f531512.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	IR 2307-247-2-2-3::IRGC 77982-C1	IR 2307-247-2-2-3::IRGC 77982-C1	NA	NA	leaf	NA	leaf	NA	ind2	Philippines	NA	rice	seedling	NA	
4f643bf5.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	TEQING	TEQING	NA	NA	leaf	NA	leaf	NA	admixed-ind	China	NA	rice	seedling	NA	
503b79f9.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	TD 25	TD 25	NA	NA	leaf	NA	leaf	NA	admixed-ind	Thailand	NA	rice	seedling	NA	
50d80437.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	LIDO::GERVEX 78-C1	LIDO::GERVEX 78-C1	NA	NA	leaf	NA	leaf	NA	tej	Italy	NA	rice	seedling	NA	
50db5bd2.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	HAWM OM	HAWM OM	NA	NA	leaf	NA	leaf	NA	admixed-jap	Thailand	NA	rice	seedling	NA	
5101c870.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	WAS 30-11-4-6-2-2-1::C1	WAS 30-11-4-6-2-2-1::C1	NA	NA	leaf	NA	leaf	NA	ind2	Senegal	NA	rice	seedling	NA	
510a09e9.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	BELLE PATNA::GERVEX 667-C1	BELLE PATNA::GERVEX 667-C1	NA	NA	leaf	NA	leaf	NA	trj	United States of America	NA	rice	seedling	NA	
51a3d19a.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	ARC 11708::IRGC 21575-1	ARC 11708::IRGC 21575-1	NA	NA	leaf	NA	leaf	NA	admixed-jap	India	NA	rice	seedling	NA	
51dd7586.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	Davao 1	Davao 1	NA	NA	leaf	NA	leaf	NA	ind1	India	NA	rice	seedling	NA	
51defbb2.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	NAKABAWA::IRGC 70676-1	NAKABAWA::IRGC 70676-1	NA	NA	leaf	NA	leaf	NA	admixed-ind	Kenya	NA	rice	seedling	NA	
520f2474.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	FULKATI::IRGC 66783-1	FULKATI::IRGC 66783-1	NA	NA	leaf	NA	leaf	NA	aus	Bangladesh	NA	rice	seedling	NA	
522427a2.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SAN DU BAI MI HONG GU::IRGC 59849-1	SAN DU BAI MI HONG GU::IRGC 59849-1	NA	NA	leaf	NA	leaf	NA	ind1	China	NA	rice	seedling	NA	
523d5ec4.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	WAB 502-13-4-1	WAB 502-13-4-1	NA	NA	leaf	NA	leaf	NA	trj	Cote d'Ivoire	NA	rice	seedling	NA	
52650be2.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	ELONI::C1	ELONI::C1	NA	NA	leaf	NA	leaf	NA	admixed-ind	Surinam	NA	rice	seedling	NA	
527b48fe.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	NSICRC 106::IRGC 117370-1	NSICRC 106::IRGC 117370-1	NA	NA	leaf	NA	leaf	NA	admixed-ind	Philippines	NA	rice	seedling	NA	
529e807c.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SHIRATAMA::IRGC 5394-1	SHIRATAMA::IRGC 5394-1	NA	NA	leaf	NA	leaf	NA	tej	Japan	NA	rice	seedling	NA	
52b7f6cb.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	KANGRO::IRGC 73105-1	KANGRO::IRGC 73105-1	NA	NA	leaf	NA	leaf	NA	aus	Pakistan	NA	rice	seedling	NA	
52c6e2ba.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	CAAWA/FORTUNA	CAAWA/FORTUNA	NA	NA	leaf	NA	leaf	NA	trj	Taiwan	NA	rice	seedling	NA	
531e23fa.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	N 12	N 12	NA	NA	leaf	NA	leaf	NA	aro	India	NA	rice	seedling	NA	
5325e87e.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	LIEN CHAN SHA PU TSAN::IRGC 4541-1	LIEN CHAN SHA PU TSAN::IRGC 4541-1	NA	NA	leaf	NA	leaf	NA	ind1	China	NA	rice	seedling	NA	
533385bb.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	AI LAN KE 1110::IRGC 67034-1	AI LAN KE 1110::IRGC 67034-1	NA	NA	leaf	NA	leaf	NA	admixed-ind	China	NA	rice	seedling	NA	
535588f1.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	CHITRAJ (DA 23)	CHITRAJ (DA 23)	NA	NA	leaf	NA	leaf	NA	ind3	Bangladesh	NA	rice	seedling	NA	
536afc14.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	IRAT 44	IRAT 44	NA	NA	leaf	NA	leaf	NA	trj	Burkina Faso	NA	rice	seedling	NA	
5384be83.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	TCHIBANGA	TCHIBANGA	NA	NA	leaf	NA	leaf	NA	ind1	Gabon	NA	rice	seedling	NA	
538f034b.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	BOSSA::IRGC 57781-1	BOSSA::IRGC 57781-1	NA	NA	leaf	NA	leaf	NA	trj	Guinea	NA	rice	seedling	NA	
53e1db9a.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	WIR 2824::IRGC 36208-1	WIR 2824::IRGC 36208-1	NA	NA	leaf	NA	leaf	NA	admixed	Tajikistan	NA	rice	seedling	NA	
53f2d44b.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	GUNDUL BATU::IRGC 17704-1	GUNDUL BATU::IRGC 17704-1	NA	NA	leaf	NA	leaf	NA	trj	Indonesia	NA	rice	seedling	NA	
54338509.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	DHAL KACHAI::IRGC 66776-1	DHAL KACHAI::IRGC 66776-1	NA	NA	leaf	NA	leaf	NA	aus	Bangladesh	NA	rice	seedling	NA	
544f48c0.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	VIALONE	VIALONE	NA	NA	leaf	NA	leaf	NA	tej	Italy	NA	rice	seedling	NA	
5476c80b.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	ARC 12429::IRGC 22060-2	ARC 12429::IRGC 22060-2	NA	NA	leaf	NA	leaf	NA	admixed-jap	India	NA	rice	seedling	NA	
5497b233.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	TOKYO SHINO MOCHI	TOKYO SHINO MOCHI	NA	NA	leaf	NA	leaf	NA	admixed-jap	Japan	NA	rice	seedling	NA	
5505a767.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	BELLARDONE	BELLARDONE	NA	NA	leaf	NA	leaf	NA	tej	France	NA	rice	seedling	NA	
5533f406.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	ARC 10352	ARC 10352	NA	NA	leaf	NA	leaf	NA	aro	Unknown	NA	rice	seedling	NA	
55883d18.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	IR 74371-54-1-1::C1	IR 74371-54-1-1::C1	NA	NA	leaf	NA	leaf	NA	ind2	Philippines	NA	rice	seedling	NA	
559cd294.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	DHALA BAGDAR 2::IRGC 77236-1	DHALA BAGDAR 2::IRGC 77236-1	NA	NA	leaf	NA	leaf	NA	aus	Bangladesh	NA	rice	seedling	NA	
55d3afae.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	IRGA 409	IRGA 409	NA	NA	leaf	NA	leaf	NA	ind2	Brazil	NA	rice	seedling	NA	
5632be21.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	FOSSA AV	FOSSA AV	NA	NA	leaf	NA	leaf	NA	trj	Burkina Faso	NA	rice	seedling	NA	
56468c9d.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	Asu	Asu	NA	NA	leaf	NA	leaf	NA	admixed-ind	India	NA	rice	seedling	NA	
5664e98d.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	KAUKKYISAW	KAUKKYISAW	NA	NA	leaf	NA	leaf	NA	aro	Myanmar	NA	rice	seedling	NA	
56f5103e.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	DJIMORON	DJIMORON	NA	NA	leaf	NA	leaf	NA	ind3	Guinea	NA	rice	seedling	NA	
57244fb4.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	KAM MRA::IRGC 62172-1	KAM MRA::IRGC 62172-1	NA	NA	leaf	NA	leaf	NA	admixed-jap	Bhutan	NA	rice	seedling	NA	
57266d87.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	LATSIBOZAKA 112-1::GERVEX 8233-C1	LATSIBOZAKA 112-1::GERVEX 8233-C1	NA	NA	leaf	NA	leaf	NA	admixed-jap	Madagascar	NA	rice	seedling	NA	
572bf96e.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	DULAR::IRGC 32561-1	DULAR::IRGC 32561-1	NA	NA	leaf	NA	leaf	NA	aus	India	NA	rice	seedling	NA	
5730daea.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	NORUNKAN::IRGC 8934-1	NORUNKAN::IRGC 8934-1	NA	NA	leaf	NA	leaf	NA	ind2	Sri Lanka	NA	rice	seedling	NA	
5776533f.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	JABARSHAIL::IRGC 25865-2	JABARSHAIL::IRGC 25865-2	NA	NA	leaf	NA	leaf	NA	aus	Bangladesh	NA	rice	seedling	NA	
57c71a3b.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	DEHRADUNI::IRGC 15768-1	DEHRADUNI::IRGC 15768-1	NA	NA	leaf	NA	leaf	NA	aro	Afghanistan	NA	rice	seedling	NA	
57d7feea.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	EARLY WATARIBUNE	EARLY WATARIBUNE	NA	NA	leaf	NA	leaf	NA	tej	Japan	NA	rice	seedling	NA	
5808fd31.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	KALAMKATI	KALAMKATI	NA	NA	leaf	NA	leaf	NA	aus	India	NA	rice	seedling	NA	
580cdd2c.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	RIPUN::IRGC 71607-1	RIPUN::IRGC 71607-1	NA	NA	leaf	NA	leaf	NA	trj	Malaysia	NA	rice	seedling	NA	
5872a595.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	WAS 197-B-6-3-11::C1	WAS 197-B-6-3-11::C1	NA	NA	leaf	NA	leaf	NA	ind2	Senegal	NA	rice	seedling	NA	
