[MSI]	
Submission Title	Rice Imputation Project	
Submission Identifier	
Submission Description	A test file that will auto-destroy in a week
Submission Version	1.2	
Submission Reference Layer	false	
Submission Release Date	2018/05/17	
Submission Update Date	2018/05/17	
Organization Name	Rice Diversity Lab	
Organization Address	160 Emerson Hall, Ithaca, NY 14850, USA	
Organization URI	
Organization Email	
Organization Role	
Term Source Name	NCBI Taxonomy	
Term Source URI	http://www.ncbi.nlm.nih.gov/taxonomy	
Term Source Version	

[SCD]	
Sample Name	Sample Description	Organism	Term Source REF	Term Source ID	Sex	Characteristic[serovar]	Characteristic[mating_type]	Characteristic[sub_strain]	Characteristic[strain]	Characteristic[Scientific Name]	Characteristic[cultivar]	Characteristic[variety]	Characteristic[serotype]	Characteristic[cell_line]	Characteristic[tissue_type]	Characteristic[tissue_lib]	Characteristic[cell_type]	Characteristic[germline]	Characteristic[sub_species]	Characteristic[geographic location (region and locality)]	Characteristic[isolate]	Characteristic[Common Name]	Characteristic[dev_stage]	Characteristic[ecotype]	
03c6494e.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	ARC 7047	ARC 7047	NA	NA	leaf	NA	leaf	NA	aus	India	NA	rice	seedling	NA	
04160e1f.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	JAO::IRGC 15046-1	JAO::IRGC 15046-1	NA	NA	leaf	NA	leaf	NA	admixed-jap	Thailand	NA	rice	seedling	NA	
044639de.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	IITA 135	IITA 135	NA	NA	leaf	NA	leaf	NA	trj	Nigeria	NA	rice	seedling	NA	
04704bb4.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	BOTESHAWAR::IRGC 34682-1	BOTESHAWAR::IRGC 34682-1	NA	NA	leaf	NA	leaf	NA	aus	Bangladesh	NA	rice	seedling	NA	
04735a65.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	NEP TEP RUONG::IRGC 32241-1	NEP TEP RUONG::IRGC 32241-1	NA	NA	leaf	NA	leaf	NA	admixed-ind	Viet Nam	NA	rice	seedling	NA	
0479b909.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	Jhona 2	Jhona 2	NA	NA	leaf	NA	leaf	NA	aus	India	NA	rice	seedling	NA	
0491646d.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	MINGHUI 63	MINGHUI 63	NA	NA	leaf	NA	leaf	NA	admixed-ind	China	NA	rice	seedling	NA	
0497a90e.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	LADY WRIGHT SELN (CI 12187)::IRGC 1761-1	LADY WRIGHT SELN (CI 12187)::IRGC 1761-1	NA	NA	leaf	NA	leaf	NA	admixed-jap	United States of America	NA	rice	seedling	NA	
0499f6f2.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	Khie tom::IRGC 11887-1	Khie tom::IRGC 11887-1	NA	NA	leaf	NA	leaf	NA	ind3	Lao People's Democratic Republic	NA	rice	seedling	NA	
04a06fb8.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	IR 2006-P12-12-2::IRGC 32675-C1	IR 2006-P12-12-2::IRGC 32675-C1	NA	NA	leaf	NA	leaf	NA	ind2	Philippines	NA	rice	seedling	NA	
